Categoría,Título,Copete,Link
internacional,Zelenski asegura que Ucrania necesita más tiempo para lanzar la contraofensiva,El presidente ucranio reclama más armamento a los aliados para combatir a Rusia,https://elpais.com/internacional/2023-05-11/zelenski-asegura-que-ucrania-necesita-mas-tiempo-para-lanzar-la-contraofensiva.html
internacional,"Dante Mossi, la cuestionada reelección del banquero que apoya a regímenes autoritarios",Los gobernadores del Banco Centroamericano de Integración Económica se reúnen para decidir la permanencia o no del presidente de la institución,https://elpais.com/internacional/2023-05-11/dante-mossi-la-cuestionada-reeleccion-del-banquero-que-apoya-a-regimenes-autoritarios.html
america-colombia,Shakira pasa la página de Piqué y dedica ‘Acróstico’ a sus hijos: “Me enseñaste que el amor no es una estafa”,"La cantante colombiana lanza un tema cargado de enseñanzas para Milan y Sasha, junto a un video que los retrata como sus polluelos",https://elpais.com/america-colombia/2023-05-12/shakira-pasa-la-pagina-de-pique-y-le-dedica-acrostico-a-sus-hijos-me-ensenaste-que-el-amor-no-es-una-estafa.html
icon,"Amor y sexo, sí, convivencia o matrimonio, jamás: cómo ligar en la era Tinder pasados los 40",Cada vez más parejas se divorcian y casi todas ellas lo hacen en la franja de los 40 a 50 años. Eso supone un enorme número de solteros,https://elpais.com/icon/2023-05-11/amor-si-sexo-tambien-convivencia-no-matrimonio-jamas-como-ligar-pasados-los-50-en-un-mundo-que-ha-cambiado.html
america-colombia,"Revolución en la Academia Colombiana de la Lengua con el ingreso de Juan Gabriel Vásquez, Héctor Abad y tres mujeres lingüistas","La Academia Colombiana de la Lengua, que llevaba un tiempo hibernando, ha sufrido estos días una verdadera revolución, seguramente la mayor desde su fundación, hace 152 años",https://elpais.com/america-colombia/2023-05-11/revolucion-en-la-academia-colombiana-de-la-lengua-con-el-ingreso-de-juan-gabriel-vasquez-hector-abad-y-tres-mujeres-linguistas.html
deportes,Los Celtics y los 76ers se jugarán el pase a la final del Este en el séptimo partido,Tatum despierta en el momento decisivo y da la victoria a los suyos en Filadelfia. La semifinal se decidirá en Boston en el séptimo partido,https://elpais.com/deportes/2023-05-12/los-celtics-y-los-76ers-se-jugaran-el-pase-a-la-final-del-este-en-el-septimo-partido.html
deportes,Uruguay se encomienda a Marcelo Bielsa para reanimar su fútbol,El entrenador argentino será el segundo extranjero en la historia que dirigirá la selección dos veces campeona del mundo,https://elpais.com/deportes/2023-05-12/uruguay-se-encomienda-a-marcelo-bielsa-para-reanimar-su-futbol.html
internacional,La brutal desigualdad de renta en Brasil se reduce al menor nivel en 11 años,"El incremento de la paga a los más pobres reduce el índice Gini a 0,518 en un país que es el 17º del mundo en brecha entre ricos y pobres",https://elpais.com/internacional/2023-05-11/la-brutal-desigualdad-de-renta-en-brasil-se-reduce-al-menor-nivel-en-11-anos.html
economia,PacWest se desploma de nuevo en Bolsa tras admitir una fuga de depósitos,"El banco perdió el 9,5% de sus depósitos tras la intervención de First Republic y la noticia de que buscaba alternativas estratégicas",https://elpais.com/economia/2023-05-11/pacwest-se-desploma-de-nuevo-en-bolsa-tras-admitir-una-fuga-de-depositos.html
ciencia,Los pueblos de México central resistieron un fuerte cambio climático hace mil años,"El ADN antiguo de poblaciones prehispánicas de Mesoamérica revela una continuidad genética que indica su adaptación tras varios siglos de megasequías, en lugar de su migración generalizada al sur para sobrevivir",https://elpais.com/ciencia/2023-05-11/los-pueblos-de-mexico-central-resistieron-un-fuerte-cambio-climatico-hace-mil-anos.html
internacional,El Tribunal Supremo de Pakistán ordena la “inmediata” liberación del ex primer ministro Imran Khan,"El político, con múltiples causas abiertas, fue arrestado el martes cuando acudía a declarar por un caso de corrupción",https://elpais.com/internacional/2023-05-11/el-tribunal-supremo-de-pakistan-ordena-la-inmediata-liberacion-del-ex-primer-ministro-imran-khan.html
sociedad,La OMS declara el fin de la emergencia sanitaria por la viruela del mono,"Desde que se activó la alarma, en julio de 2022,  se han producido más de 87.000 casos y 140 muertes por viruela del mono en 111 países",https://elpais.com/sociedad/2023-05-11/la-oms-declara-el-fin-de-la-emergencia-sanitaria-por-la-viruela-del-mono.html
internacional,Sunak se echa atrás en la promesa de eliminar todas las leyes de la UE que rigen en el Reino Unido después del Brexit,El Parlamento sandinista desmantela la organización por atender a los heridos de las protestas de 2018,https://elpais.com/internacional/2023-05-11/sunak-se-echa-atras-en-la-promesa-de-eliminar-todas-las-leyes-de-la-ue-que-rigen-en-el-reino-unido-despues-del-brexit.html
internacional,Israel mata a dos líderes de la Yihad Islámica en bombardeos sobre Gaza,"La ofensiva causa al menos 29 palestinos muertos desde el martes, en el peor repunte de violencia",https://elpais.com/internacional/2023-05-11/israel-mata-a-otro-lider-de-la-yihad-islamica-en-un-nuevo-bombardeo-sobre-gaza.html
america,Igualdad de género: prioridad para el desarrollo latinoamericano,"Las críticas se orientan cada vez más hacia el “reparto de la carga” militar y económica, la subida de los precios o la separación entre religión y Estado",https://elpais.com/america/termometro-social/
opinion,La justicia alcanza a Trump,La condena al expresidente por haber abusado sexualmente de una escritora obliga al Partido Republicano a tomar posición frente a su tóxico legado,https://elpais.com/opinion/2023-05-11/la-justicia-alcanza-a-trump.html
opinion,Visitando al viejo Faulkner,No hay un autor más determinante que el escritor estadounidense para la generación latinoamericana de autores como García Márquez o Carlos Fuentes,https://elpais.com/opinion/2023-05-11/visitando-al-viejo-faulkner.html
argentina,Fernando Martín Peña: la memoria del cine argentino en 8.000 rollos de celuloide,"Este archivista, historiador y profesor cuenta en el libro ‘Diario de la Filmoteca’ el trabajo de su vida: rescatar el cine que nadie se encarga de cuidar",https://elpais.com/argentina/2023-05-11/fernando-martin-pena-la-memoria-del-cine-argentino-en-8000-rollos-de-celuloide.html
cultura,Adiós a la edad de oro de los documentales de plataforma,La estandarización audiovisual que dicta el algoritmo ensombrece un género que vivió un ‘boom’,https://elpais.com/cultura/2023-05-11/adios-a-la-edad-de-oro-de-los-documentales-de-plataforma.html
gente,‘Hola mi bebebé’: el hit que le dio al representante de Rumania en Eurovisión un año de éxito,"‘Llámame’, el tema de Andrei WRS, fue himno de muchos españoles, no solo de eurofans, tras su aparición en el pasado festival",https://elpais.com/gente/2023-05-11/hola-mi-bebebe-el-hit-que-le-dio-al-representante-de-rumania-en-eurovision-2022-un-ano-de-exito-y-bolos-en-espana.html
icon,Karlos Gil: “La obsolescencia tecnológica es parecida al envejecimiento humano”,"El artista de Talavera ha presentado ‘Declive’, una de las exposiciones del año en CAM2, pero su universo sigue expandiéndose",https://elpais.com/icon/2023-05-11/karlos-gil-la-obsolescencia-tecnologica-es-parecida-al-envejecimiento-del-cuerpo-humano.html
gente,"Francia Raísa, la amiga que le donó su riñón a Selena Gomez, denuncia el acoso de los fans de la cantante","La actriz donó en 2017 un órgano a la artista para mejorar su estado de salud por el lupus. La persecución contra ella comenzó en abril, cuando se negó a hablar públicamente sobre su ahora examiga",https://elpais.com/gente/2023-05-11/francia-raisa-la-amiga-que-le-dono-su-rinon-a-selena-gomez-denuncia-el-acoso-de-los-fans-de-la-cantante-me-esta-afectando-mentalmente.html
eps,Imanol Ibarrondo: “Hace 2.000 años no había ni psicólogos ni psiquiatras ni pastillas. Había filosofía”,Lo aprendió casi todo de sus lesiones como futbolista profesional. Se convirtió en ‘coach’ buscando su propia felicidad y ha enseñado a deportistas y empresas a superar sus miedos,https://elpais.com/eps/2023-05-11/imanol-ibarrondo-hace-2000-anos-no-habia-ni-psicologos-ni-psiquiatras-ni-pastillas-habia-filosofia.html
usa,Title 42: US-Mexico border shelters brace for approaching storm,People in charge of centers hosting immigrants are anticipating an increase in deportations when the Donald Trump-era public health law ceases to be in force as of midnight on May 11,https://english.elpais.com/usa/2023-05-11/title-42-us-mexico-border-shelters-brace-for-approaching-storm.html
